Name,Date of Birth,Gender,Marital Status,Phone Number,Email Address,Mailing Address,Language Preference,Geographical Location,Credit Score,Loan Type,Loan Amount,Loan Term,Interest Rate,Loan Purpose,EMI,IP Address,Geolocation,Repayment History,Days Left to Pay Current EMI,Delayed Payment
Lakshay Bhargava,03-10-1969,Female,Divorced,2661931798,nitya33@example.org,"79
Dar Street
Kirari Suleman Nagar 711179",Hindi,Parbhani,687,Auto Loan,61859,14,0.22,Wedding Expenses,5049.93,192.168.122.131,"-29.8141755, 71.963407","[{'Payment Date': datetime.date(2023, 5, 20), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 23), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 2), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 21), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 9, 5), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 10, 21), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 11, 28), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 12, 6), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2024, 1, 5), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2024, 2, 12), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2024, 3, 11), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2024, 4, 24), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2024, 5, 13), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2024, 6, 19), 'Payment Mode': 'Cash'}]",12,Yes
Vidur Iyengar,10-09-1958,Female,Divorced,+919395654254,ibehl@example.com,"93/762, Rastogi, Surendranagar Dudhrej 279486",Urdu,Rajahmundry,336,Home Loan,87896,12,0.19,Debt Consolidation,8100.19,172.27.27.109,"57.006571, -153.035745","[{'Payment Date': datetime.date(2023, 5, 6), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 7), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 7), 'Payment Mode': 'Debit Card'}]",10,Yes
Bhavin Choudhry,26-08-1965,Female,Single,+915594217953,gatik29@example.net,"18/09
Chahal Street
Burhanpur-136441",Telugu,Anantapur,737,Auto Loan,16517,5,0.19,Wedding Expenses,3461.95,192.168.237.36,"-50.3453965, -34.770699","[{'Payment Date': datetime.date(2023, 5, 23), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 26), 'Payment Mode': 'Net Banking'}]",9,Yes
Fateh Vasa,21-01-1984,Female,Divorced,04744569929,balisaira@example.net,"33, Saini Chowk
Ramagundam 706615",Kannada,Patiala,478,Home Loan,89219,5,0.2,Debt Consolidation,18745.82,172.16.238.194,"28.3846375, 55.309952",[],4,Yes
Shlok Kamdar,17-07-1965,Female,Divorced,+917667042909,chaudharitiya@example.com,"047, Shanker Chowk
Bhilwara 373953",Tamil,Raipur,489,Home Loan,61654,11,0.28,Debt Consolidation,6419.73,192.168.79.134,"29.4276315, -75.820308",[],1,No
Faiyaz Mand,11-06-1974,Male,Married,03105681680,kmaharaj@example.net,"H.No. 08, Buch Circle, Bhind 292107",Tamil,Ajmer,754,Home Loan,62408,12,0.14,Home Renovation,5603.43,192.168.115.76,"-78.0330325, 33.697761","[{'Payment Date': datetime.date(2023, 5, 17), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 7), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 11), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 8, 25), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 9, 17), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 10, 20), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 11, 16), 'Payment Mode': 'Credit Card'}]",1,No
Kabir Brar,23-01-1982,Female,Single,01446418142,divyanshkakar@example.org,"H.No. 45
Lad Road
Bongaigaon 914564",Tamil,Bidhannagar,783,Personal Loan,40481,2,0.25,Debt Consolidation,20875.19,192.168.21.40,"65.4124705, -136.233126","[{'Payment Date': datetime.date(2023, 5, 8), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 25), 'Payment Mode': 'UPI'}]",1,Yes
Jivika Bail,01-10-1993,Male,Widowed,+911602097776,nirvidalal@example.org,"H.No. 98
Batra Chowk
Latur 557387",Marathi,Surat,622,Personal Loan,39649,4,0.21,Debt Consolidation,10349.67,172.25.211.84,"10.7991665, -128.557597",[],4,No
Ritvik Lad,17-02-1969,Female,Single,+919463595993,kiaan12@example.org,"30/08, Keer Nagar
Akola-994395",Gujarati,Solapur,670,Auto Loan,40226,4,0.13,Education Fees,10330.33,192.168.218.49,"29.7560175, -66.716857",[],14,No
Tara Gaba,05-03-1963,Male,Single,6636256626,guhakartik@example.com,"87/098, Jani Nagar
Kadapa-200902",Telugu,Kozhikode,568,Auto Loan,13867,3,0.17,Education Fees,4753.91,192.168.182.60,"-89.028948, 129.593845",[],6,No
Saira Divan,15-04-1979,Male,Married,5490945761,trivediindrans@example.net,"H.No. 48
Chada Road, Haridwar 976440",English,Jamalpur,329,Auto Loan,63984,10,0.2,Debt Consolidation,6999.46,10.225.209.212,"48.8041625, -55.869807","[{'Payment Date': datetime.date(2023, 5, 10), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 14), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 7, 13), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 8, 9), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 9, 23), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 10, 1), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 10, 25), 'Payment Mode': 'UPI'}]",1,No
Amira Agrawal,16-05-1972,Male,Widowed,+910415117183,geraanaya@example.com,"218, Balay Path, Firozabad-568600",Hindi,Alappuzha,455,Auto Loan,95975,10,0.27,Medical Emergency,10824.8,192.168.111.227,"-55.0660905, -118.526671","[{'Payment Date': datetime.date(2023, 5, 26), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 21), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 18), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 15), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 9, 23), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 10, 9), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 11, 27), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 12, 24), 'Payment Mode': 'UPI'}]",10,No
Dhruv Kade,07-05-1992,Male,Widowed,3489436651,mdayal@example.org,"45, Thaman Marg
Kumbakonam 921983",Marathi,Tadipatri,619,Personal Loan,86935,4,0.17,Debt Consolidation,22508.9,10.62.38.1,"6.885312, -155.500763","[{'Payment Date': datetime.date(2023, 5, 24), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 13), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 3), 'Payment Mode': 'Cash'}]",3,No
